
collisionBB,0.0,5.180568218231201,0.0,4.897155760907879e-07,0.0,-0.0,1.0,1.0,1.0
collisionBB.001,0.0,0.0,2.0,4.897155760907879e-07,0.0,-0.0,1.0,4.489000114439056e-09,1.0
collisionBB.002,0.0,0.0,-2.0,4.897155760907879e-07,0.0,-0.0,1.0,4.506355872337413e-09,1.0
collisionBB.003,-2.0,0.0,-2.0,4.897155760907879e-07,0.0,-0.0,1.0,4.506355872337413e-09,1.0
collisionBB.004,-2.0,0.0,2.0,4.897155760907879e-07,0.0,-0.0,1.0,4.506355872337413e-09,1.0
collisionBB.005,-2.0,0.0,0.0,4.897155760907879e-07,0.0,-0.0,1.0,4.506355872337413e-09,1.0
collisionBB.006,2.0,0.0,-2.0,4.897155760907879e-07,0.0,-0.0,1.0,4.506355872337413e-09,1.0
collisionBB.007,2.0,0.0,2.0,4.897155760907879e-07,0.0,-0.0,1.0,4.506355872337413e-09,1.0
collisionBB.008,2.0,0.0,0.0,4.897155760907879e-07,0.0,-0.0,1.0,4.506355872337413e-09,1.0
collisionBB.009,0.0,0.0,0.0,4.897155760907879e-07,0.0,-0.0,1.0,4.489000114439056e-09,1.0
Ground001,0.0,0.0,0.0,4.897155760907879e-07,0.0,-0.0,1.0,1.0,1.0
Ground001.001,0.0,0.0,2.0,4.897155760907879e-07,0.0,-0.0,1.0,1.0,1.0
Ground001.002,0.0,0.0,-2.0,4.897155760907879e-07,0.0,-0.0,1.0,1.0,1.0
Ground001.003,-2.0,0.0,-2.0,4.897155760907879e-07,0.0,-0.0,1.0,1.0,1.0
Ground001.004,-2.0,0.0,2.0,4.897155760907879e-07,0.0,-0.0,1.0,1.0,1.0
Ground001.005,-2.0,0.0,0.0,4.897155760907879e-07,0.0,-0.0,1.0,1.0,1.0
Ground001.006,2.0,0.0,-2.0,4.897155760907879e-07,0.0,-0.0,1.0,1.0,1.0
Ground001.007,2.0,0.0,2.0,4.897155760907879e-07,0.0,-0.0,1.0,1.0,1.0
Ground001.008,2.0,0.0,0.0,4.897155760907879e-07,0.0,-0.0,1.0,1.0,1.0
